Project,Variant,Libtype,Topcell,Flow-Libtype,Releaser,Flow,Subflow,Waiver-creator,Waiver-reason,Error
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_clkmux2to1_1b,timemod,rdeshpa1,timemod,arc-compare-postlayout,CommandLine,"all these are due to min_period, min_period informaion not in timemod for phy_clk_in,  arcs. Review with KokYong and he mentioned std cells  wont have min period, so PT wont be able toget this information into timemod .lib. This is expected, so ok to waive HSD#16018272238 and HSD#14018151314",FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_clkmux2to1_1b.timemod_arc-compare-postlayout.xml: test results indicated failure: Rule 17804: 2 errors in rundir/iophyadaptwr_clkmux2to1_1b/arc_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_adapter,timemod,rdeshpa1,timemod,arc-compare-postlayout,CommandLine,"all these are due to min_period, min_period informaion not in timemod for phy_clk_in,  arcs. Review with KokYong and he mentioned std cells  wont have min period, so PT wont be able toget this information into timemod .lib. This is expected, so ok to waive HSD#16018272238 and HSD#14018151314",FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_adapter.timemod_arc-compare-postlayout.xml: test results indicated failure: Rule 17804: 384 errors in rundir/iophyadaptwr_adapter/arc_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_mux2to1_2b,timemod,rdeshpa1,timemod,arc-compare-postlayout,CommandLine,"all these are due to min_period, min_period informaion not in timemod for phy_clk_in,  arcs. Review with KokYong and he mentioned std cells  wont have min period, so PT wont be able toget this information into timemod .lib. This is expected, so ok to waive HSD#16018272238 and HSD#14018151314",FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_mux2to1_2b.timemod_arc-compare-postlayout.xml: test results indicated failure: Rule 17804: 5 errors in rundir/iophyadaptwr_mux2to1_2b/arc_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_dftovr_mux2to1_1b,timemod,rdeshpa1,timemod,arc-compare-postlayout,CommandLine,"all these are due to min_period, min_period informaion not in timemod for phy_clk_in,  arcs. Review with KokYong and he mentioned std cells  wont have min period, so PT wont be able toget this information into timemod .lib. This is expected, so ok to waive HSD#16018272238 and HSD#14018151314",FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_dftovr_mux2to1_1b.timemod_arc-compare-postlayout.xml: test results indicated failure: Rule 17804: 2 errors in rundir/iophyadaptwr_dftovr_mux2to1_1b/arc_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_clkmux2to1_1b,timemod,rdeshpa1,timemod,ip-lib-check-postlayout,CommandLine,flow limitation OK to Waive HSD#14017754938,FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_clkmux2to1_1b.timemod_ip-lib-check-postlayout.xml: test results indicated failure: Rule 17810: 57 errors in rundir/iophyadaptwr_clkmux2to1_1b/liberty_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_bead_config,timemod,rdeshpa1,timemod,xcorner-check-postlayout,CommandLine,DFT signals not in RTL OK to Waive HSD#14011773886,"FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_bead_config.timemod_xcorner-check-postlayout.xml: test results indicated failure: Rule 31,32: 21318 errors in rundir/iophyadaptwr_bead_config/xcorner_check/report_xfire_results.log"
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_adapter,timemod,rdeshpa1,timemod,ip-lib-check-postlayout,CommandLine,flow limitation OK to Waive HSD#14017754938,FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_adapter.timemod_ip-lib-check-postlayout.xml: test results indicated failure: Rule 17810: 57 errors in rundir/iophyadaptwr_adapter/liberty_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_bead_config,timemod,rdeshpa1,timemod,ip-lib-check-postlayout,CommandLine,flow limitation OK to Waive HSD#14017754938,FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_bead_config.timemod_ip-lib-check-postlayout.xml: test results indicated failure: Rule 17810: 114 errors in rundir/iophyadaptwr_bead_config/liberty_check/report_xfire_results.log
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_adapter,timemod,rdeshpa1,timemod,ip-lib-check-postlayout,CommandLine,DFT signals not in RTL OK to Waive HSD#14011773886,"FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_adapter.timemod_ip-lib-check-postlayout.xml: test results indicated failure: Rule 31,32: 5529 errors in rundir/iophyadaptwr_adapter/liberty_check/report_xfire_results.log"
i10soc2,iophyadaptwr_lib,timemod,iophyadaptwr_adapter,timemod,rdeshpa1,timemod,ip-lib-check-postlayout,CommandLine,Known issue OK to Waive HSD#14017747006,FAILED validation of /iophyadaptwr_lib/timemod/audit/audit.iophyadaptwr_adapter.timemod_ip-lib-check-postlayout.xml: test results indicated failure: Rule 7201: 17 errors in rundir/iophyadaptwr_adapter/liberty_check/report_xfire_results.log
