"PSG Login ID","Intel Login ID","Intel WWID","PSG EMP ID"
"AABMAHMU","AABMAHMU","11646579","06780"
"AABRAHAM","AAABRAHA","11645783","10102"
"AABUBAKA","AZIZANAB","11679866","11430"
"AACHEN","AARONCH1","11666462","11132"
"AADAROH","ADAROHX","11710095","11470"
"AAFERNAN","AMANDAAN","11646092","08833"
"AAFLAKI","AAFLAKI","11646392","06253"
"AAHMED","ARIFUDDI","11645572","03202"
"AALANIZ","AALANIZ","11686552","11590"
"AALARY","AALARY","11645536","03012"
"AALFONSO","AALFONSO","11645024","09920"
"AAMOHDZA","AAMOHDZA","11644238","10801"
"AANADARA","AANAND3X","11344216","11617"
"AARAHMAN","AARAHMAN","11645970","08970"
"AARORA","AKASHARO","11646166","05719"
"AASHBY","AASHBY","11645653","03438"
"AAU","AWAU","11646717","07681"
"AAZMIL","AALIAS","11672524","02960"
"ABACYE","ABACYE","11684507","11498"
"ABALIJEP","ABALIJEP","11656915","10997"
"ABANSAL","ANSHULBA","11646386","08127"
"ABERGLUN","ABERGLUN","11644791","09523"
"ABHKUMAR","ABHINAVK","11678264","11424"
"ABITAR","ABITAR","11644181","10821"
"ABKRISH","ABKRISH","10572383","08001"
"ABKUMAR","ABHIKUMA","11673258","11253"
"ABMPKHAN","ABMPKHAN","11302162","09189"
"ABOGNER","ABOGNER","11644751","10526"
"ABOWN","ABOWN","11646449","08080"
"ABRANT","ABRANT","11645853","09149"
"ABROWNBI","ABROWNBI","11645900","04991"
"ABRUNO","ABRUNO","11663819","11091"
"ABSINGH","SINGHABH","11644615","10618"
"ABURSON","ABURSON","11644306","04711"
"ACANYON","ACANYON","11645069","10028"
"ACARTOLA","TCARTOLA","11683496","11511"
"ACASTILL","AYCASTIL","11645624","10121"
"ACAUGHRO","ANCAUGHR","11222800","11167"
"ACHAN","AKCHAN","11645414","02586"
"ACHANGAR","CHANGARA","10632348","08945"
"ACHEN","ARTHURCH","11644538","08581"
"ACHESELI","ABINCHES","10675059","10951"
"ACHOONG","CHOONGAL","11646850","07430"
"ACHOW","ALEXCHOW","11645425","10258"
"ACID","ALBERTOC","11645552","03094"
"ACLARKE","ANDYCLAX","11708670","11164"
"ACLINTON","ACLINTON","11645016","09902"
"ACONRAD","ACONRAD","11646713","07757"
"ACORTEZ","ADRIANCO","11645654","03441"
"ACQUIROS","ACQUIROS","11645788","10058"
"ACROSLAN","ACROSLAN","11645452","02746"
"ACYCHAI","ACYCHAI","11305515","10304"
"ACZUBKOW","ACZUBKOW","11443350","10772"
"ADANESHB","ADANESHB","11646209","08806"
